UserAccountAge,PaymentMethod,MerchantType,TransactionRegion,TransactionIsFraudulent
New,CreditCard,Retail,Domestic,No
New,CreditCard,Retail,International,No
New,CreditCard,DigitalService,Domestic,No
New,CreditCard,DigitalService,International,Yes
New,BankTransfer,Retail,Domestic,No
New,BankTransfer,Retail,International,Yes
New,BankTransfer,DigitalService,Domestic,No
New,BankTransfer,DigitalService,International,Yes
Old,CreditCard,Retail,Domestic,No
Old,CreditCard,Retail,International,No
Old,CreditCard,DigitalService,Domestic,No
Old,CreditCard,DigitalService,International,No
Old,BankTransfer,Retail,Domestic,Yes
Old,BankTransfer,Retail,International,Yes
Old,BankTransfer,DigitalService,Domestic,No
Old,BankTransfer,DigitalService,International,No
Old,BankTransfer,DigitalService,Domestic,No
New,CreditCard,Retail,International,Yes
New,CreditCard,Retail,Domestic,Yes
Old,BankTransfer,DigitalService,International,Yes
New,BankTransfer,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,Yes
New,BankTransfer,Retail,International,Yes
New,BankTransfer,DigitalService,Domestic,No
New,CreditCard,DigitalService,Domestic,No
Old,CreditCard,Retail,Domestic,Yes
Old,BankTransfer,Retail,Domestic,No
New,CreditCard,DigitalService,International,No
New,CreditCard,DigitalService,International,No
Old,CreditCard,DigitalService,International,No
New,BankTransfer,DigitalService,International,No
Old,CreditCard,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,DigitalService,Domestic,Yes
Old,BankTransfer,Retail,Domestic,Yes
Old,CreditCard,DigitalService,International,No
New,BankTransfer,DigitalService,Domestic,No
New,CreditCard,DigitalService,Domestic,No
New,BankTransfer,Retail,Domestic,No
Old,CreditCard,Retail,International,Yes
Old,CreditCard,DigitalService,International,No
New,BankTransfer,Retail,Domestic,Yes
Old,BankTransfer,Retail,Domestic,No
New,CreditCard,Retail,International,Yes
New,CreditCard,Retail,International,No
Old,BankTransfer,DigitalService,Domestic,No
Old,CreditCard,Retail,International,No
Old,BankTransfer,Retail,Domestic,No
New,CreditCard,DigitalService,Domestic,Yes
Old,CreditCard,DigitalService,Domestic,Yes
New,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,DigitalService,International,No
Old,BankTransfer,DigitalService,International,Yes
New,BankTransfer,Retail,International,No
Old,CreditCard,Retail,International,Yes
Old,CreditCard,DigitalService,International,No
Old,BankTransfer,Retail,Domestic,Yes
New,BankTransfer,DigitalService,International,Yes
New,CreditCard,DigitalService,International,Yes
Old,CreditCard,DigitalService,International,Yes
Old,BankTransfer,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,No
Old,CreditCard,Retail,Domestic,Yes
Old,CreditCard,DigitalService,Domestic,No
New,BankTransfer,Retail,International,No
Old,CreditCard,Retail,International,No
New,BankTransfer,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,No
New,BankTransfer,Retail,International,No
New,CreditCard,DigitalService,Domestic,No
New,CreditCard,Retail,International,Yes
Old,CreditCard,DigitalService,Domestic,Yes
New,BankTransfer,DigitalService,Domestic,Yes
Old,BankTransfer,DigitalService,International,No
New,CreditCard,DigitalService,Domestic,No
New,CreditCard,DigitalService,International,Yes
Old,CreditCard,Retail,International,No
New,CreditCard,DigitalService,Domestic,No
New,BankTransfer,Retail,Domestic,No
Old,CreditCard,DigitalService,Domestic,Yes
Old,BankTransfer,Retail,Domestic,No
Old,BankTransfer,DigitalService,International,No
New,BankTransfer,Retail,International,Yes
New,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,Retail,International,Yes
New,BankTransfer,Retail,International,Yes
New,BankTransfer,DigitalService,International,No
New,BankTransfer,DigitalService,Domestic,No
New,CreditCard,Retail,International,No
Old,CreditCard,Retail,Domestic,Yes
New,CreditCard,DigitalService,Domestic,Yes
Old,CreditCard,Retail,Domestic,No
New,BankTransfer,DigitalService,Domestic,No
New,CreditCard,DigitalService,Domestic,Yes
New,CreditCard,Retail,Domestic,Yes
New,BankTransfer,DigitalService,Domestic,No
New,BankTransfer,DigitalService,Domestic,No
New,BankTransfer,Retail,International,No
Old,CreditCard,Retail,Domestic,Yes
New,CreditCard,DigitalService,International,No
New,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,DigitalService,International,No
New,BankTransfer,Retail,International,Yes
New,BankTransfer,DigitalService,Domestic,Yes
Old,CreditCard,Retail,Domestic,No
Old,BankTransfer,Retail,Domestic,Yes
Old,BankTransfer,DigitalService,International,No
New,BankTransfer,DigitalService,Domestic,Yes
Old,BankTransfer,DigitalService,Domestic,Yes
Old,CreditCard,Retail,International,No
Old,BankTransfer,DigitalService,International,Yes
New,BankTransfer,DigitalService,Domestic,Yes
Old,BankTransfer,Retail,Domestic,Yes
New,CreditCard,Retail,Domestic,No
New,CreditCard,Retail,Domestic,Yes
Old,BankTransfer,Retail,Domestic,Yes
New,CreditCard,DigitalService,International,Yes
Old,CreditCard,DigitalService,International,No
New,BankTransfer,DigitalService,International,No
Old,CreditCard,Retail,International,No
Old,CreditCard,DigitalService,International,No
New,BankTransfer,Retail,International,Yes
Old,BankTransfer,Retail,International,No
Old,CreditCard,DigitalService,Domestic,Yes
Old,BankTransfer,Retail,International,No
Old,BankTransfer,Retail,International,Yes
New,BankTransfer,DigitalService,Domestic,Yes
New,CreditCard,DigitalService,International,No
New,BankTransfer,DigitalService,Domestic,Yes
New,CreditCard,DigitalService,Domestic,Yes
Old,BankTransfer,DigitalService,International,No
New,CreditCard,DigitalService,International,No
New,CreditCard,Retail,International,Yes
New,CreditCard,DigitalService,International,No
Old,BankTransfer,DigitalService,Domestic,No
New,CreditCard,Retail,International,No
Old,BankTransfer,Retail,Domestic,Yes
Old,CreditCard,Retail,Domestic,No
New,CreditCard,Retail,Domestic,Yes
New,CreditCard,Retail,International,Yes
New,CreditCard,Retail,International,No
Old,BankTransfer,DigitalService,Domestic,No
New,CreditCard,Retail,Domestic,No
New,CreditCard,DigitalService,Domestic,No
New,CreditCard,Retail,International,No
New,CreditCard,Retail,International,Yes
Old,BankTransfer,Retail,International,No
Old,BankTransfer,DigitalService,International,Yes
Old,CreditCard,DigitalService,Domestic,No
Old,BankTransfer,DigitalService,Domestic,Yes
New,CreditCard,DigitalService,International,Yes
Old,CreditCard,Retail,International,Yes
New,CreditCard,Retail,Domestic,Yes
Old,CreditCard,Retail,International,Yes
Old,BankTransfer,Retail,Domestic,No
Old,BankTransfer,Retail,International,Yes
New,CreditCard,Retail,International,No
New,CreditCard,Retail,International,Yes
New,BankTransfer,DigitalService,International,No
Old,BankTransfer,Retail,International,No
New,CreditCard,Retail,International,No
Old,BankTransfer,Retail,Domestic,Yes
Old,BankTransfer,DigitalService,Domestic,Yes
Old,CreditCard,DigitalService,Domestic,No
New,CreditCard,Retail,Domestic,Yes
New,CreditCard,Retail,International,Yes
New,BankTransfer,Retail,Domestic,Yes
