UserAccountAge,PaymentMethod,MerchantType,TransactionRegion,TransactionIsFraudulent,,,,,,,,,,,,
New,CreditCard,Retail,Domestic,No,,,,,,,,,,,,
New,CreditCard,Retail,International,No,,,,,,,           Features,,,,Labels,
New,CreditCard,DigitalService,Domestic,No,,,,,,F1,F2,F3,F4,,Yes,No
New,CreditCard,DigitalService,International,Yes,,,,,,New,CreditCard,Retail,Domestic,,7,4
New,BankTransfer,Retail,Domestic,No,,,,,,New,CreditCard,Retail,International,,10,8
New,BankTransfer,Retail,International,Yes,,,,,,New,CreditCard,DigitalService,Domestic,,6,17
New,BankTransfer,DigitalService,Domestic,No,,,,,,New,CreditCard,DigitalService,International,,5,6
New,BankTransfer,DigitalService,International,Yes,,,,,,New,BankTransfer,Retail,Domestic,,5,4
Old,CreditCard,Retail,Domestic,No,,,,,,New,BankTransfer,Retail,International,,8,4
Old,CreditCard,Retail,International,No,,,,,,New,BankTransfer,DigitalService,Domestic,,6,10
Old,CreditCard,DigitalService,Domestic,No,,,,,,New,BankTransfer,DigitalService,International,,2,6
Old,CreditCard,DigitalService,International,No,,,,,,Old,CreditCard,Retail,Domestic,,6,6
Old,BankTransfer,Retail,Domestic,Yes,,,,,,Old,CreditCard,Retail,International,,5,6
Old,BankTransfer,Retail,International,Yes,,,,,,Old,CreditCard,DigitalService,Domestic,,4,4
Old,BankTransfer,DigitalService,Domestic,No,,,,,,Old,CreditCard,DigitalService,International,,1,11
Old,BankTransfer,DigitalService,International,No,,,,,,Old,BankTransfer,Retail,Domestic,,8,5
Old,BankTransfer,DigitalService,Domestic,No,,,,,,Old,BankTransfer,Retail,International,,8,5
New,CreditCard,Retail,International,Yes,,,,,,Old,BankTransfer,DigitalService,Domestic,,5,5
New,CreditCard,Retail,Domestic,Yes,,,,,,Old,BankTransfer,DigitalService,International,,4,9
Old,BankTransfer,DigitalService,International,Yes,,,,,,,,,,,,
New,BankTransfer,Retail,International,Yes,,,,,,,,,,,,
New,CreditCard,DigitalService,Domestic,Yes,,,,,,,,,,,,
New,BankTransfer,Retail,International,Yes,,,,,,,,,,,,
New,BankTransfer,DigitalService,Domestic,No,,,,,,,,,,,,
New,CreditCard,DigitalService,Domestic,No,,,,,,,,,,,,
Old,CreditCard,Retail,Domestic,Yes,,,,,,,,,,,,
Old,BankTransfer,Retail,Domestic,No,,,,,,,,,,,,
New,CreditCard,DigitalService,International,No,,,,,,,,,,,,
New,CreditCard,DigitalService,International,No,,,,,,,,,,,,
Old,CreditCard,DigitalService,International,No,,,,,,,,,,,,
New,BankTransfer,DigitalService,International,No,,,,,,,,,,,,
Old,CreditCard,Retail,International,Yes,,,,,,,,,,,,
New,CreditCard,DigitalService,Domestic,No,,,,,,,,,,,,
Old,BankTransfer,DigitalService,Domestic,Yes,,,,,,,,,,,,
Old,BankTransfer,Retail,Domestic,Yes,,,,,,,,,,,,
Old,CreditCard,DigitalService,International,No,,,,,,,,,,,,
New,BankTransfer,DigitalService,Domestic,No,,,,,,,,,,,,
New,CreditCard,DigitalService,Domestic,No,,,,,,,,,,,,
New,BankTransfer,Retail,Domestic,No,,,,,,,,,,,,
Old,CreditCard,Retail,International,Yes,,,,,,,,,,,,
Old,CreditCard,DigitalService,International,No,,,,,,,,,,,,
New,BankTransfer,Retail,Domestic,Yes,,,,,,,,,,,,
Old,BankTransfer,Retail,Domestic,No,,,,,,,,,,,,
New,CreditCard,Retail,International,Yes,,,,,,,,,,,,
New,CreditCard,Retail,International,No,,,,,,,,,,,,
Old,BankTransfer,DigitalService,Domestic,No,,,,,,,,,,,,
Old,CreditCard,Retail,International,No,,,,,,,,,,,,
Old,BankTransfer,Retail,Domestic,No,,,,,,,,,,,,
New,CreditCard,DigitalService,Domestic,Yes,,,,,,,,,,,,
